start_date,end_date,length
2005-07-14,2005-07-14,1
2005-09-01,2005-09-05,5
2006-05-29,2006-05-29,1
2006-09-10,2006-09-12,3
2006-09-14,2006-09-15,2
2007-06-05,2007-06-05,1
2007-06-11,2007-06-11,1
2007-06-13,2007-06-19,7
2007-07-21,2007-07-22,2
2007-07-27,2007-07-31,5
2007-08-22,2007-08-25,4
2007-08-28,2007-08-29,2
2007-09-19,2007-09-19,1
2007-09-22,2007-09-23,2
2008-09-02,2008-09-04,3
2008-09-10,2008-09-14,5
2009-06-23,2009-06-24,2
2009-06-26,2009-06-26,1
2009-07-01,2009-07-01,1
2009-07-04,2009-07-11,8
2009-08-16,2009-08-17,2
2009-08-30,2009-08-30,1
2009-11-05,2009-11-05,1
2010-06-12,2010-06-12,1
2010-06-29,2010-06-29,1
2010-07-25,2010-07-25,1
2010-08-16,2010-08-16,1
2010-11-17,2010-11-17,1
2011-06-01,2011-06-01,1
2011-06-06,2011-06-08,3
2011-06-10,2011-06-11,2
2011-07-10,2011-07-10,1
2011-07-13,2011-07-14,2
2011-07-16,2011-07-19,4
2011-07-21,2011-08-02,13
2011-08-17,2011-08-17,1
2011-08-27,2011-09-01,6
2012-06-12,2012-06-13,2
2012-06-29,2012-06-30,2
2012-08-27,2012-08-29,3
2012-08-31,2012-09-03,4
2013-06-12,2013-06-13,2
2013-06-17,2013-06-17,1
2013-06-28,2013-06-28,1
2013-07-10,2013-07-10,1
2013-07-17,2013-07-24,8
2013-07-29,2013-08-01,4
2013-09-10,2013-09-13,4
2014-08-21,2014-08-21,1
2014-08-23,2014-08-31,9
2014-09-02,2014-09-02,1
2015-06-08,2015-06-12,5
2015-09-09,2015-09-10,2
2016-06-23,2016-06-23,1
2016-06-28,2016-06-29,2
2016-07-26,2016-07-26,1
2017-09-10,2017-09-11,2
2017-10-04,2017-10-04,1
2018-06-02,2018-06-02,1
2018-07-11,2018-07-11,1
2019-06-12,2019-06-13,2
2019-06-22,2019-06-23,2
2019-07-07,2019-07-08,2
2019-07-16,2019-07-16,1
2019-07-31,2019-08-05,6
2019-08-29,2019-09-07,10
2019-10-17,2019-10-17,1
2019-10-19,2019-10-21,3
2020-06-25,2020-06-27,3
2020-07-02,2020-07-03,2
2020-07-06,2020-07-10,5
2020-07-12,2020-07-12,1
2020-07-23,2020-07-23,1
2020-07-29,2020-07-29,1
2020-07-31,2020-08-04,5
2020-09-02,2020-09-06,5
2020-09-09,2020-09-09,1
2020-09-13,2020-09-16,4
2020-09-18,2020-09-20,3
2020-12-07,2020-12-08,2
2021-07-09,2021-07-10,2
2021-09-07,2021-09-07,1
2021-10-02,2021-10-03,2
2021-11-12,2021-11-12,1
2021-11-15,2021-11-16,2
2022-06-21,2022-06-21,1
2022-09-03,2022-09-12,10
2023-06-09,2023-06-13,5
2023-06-21,2023-07-04,14
2023-07-18,2023-07-21,4
2023-07-23,2023-07-23,1
2023-09-21,2023-09-23,3
2024-06-03,2024-06-03,1
2024-06-20,2024-06-21,2
2024-06-23,2024-06-25,3
2024-07-05,2024-07-08,4
2024-07-10,2024-07-22,13
2024-07-24,2024-07-26,3
2024-08-15,2024-08-20,6
2024-10-09,2024-10-09,1
2024-10-13,2024-10-13,1
